n,ssp1_BHM-LR_0.001,ssp1_BHM-LR_0.015,ssp1_BHM-LR_0.03,ssp1_BHM-LRdiff_0.001,ssp1_BHM-LRdiff_0.015,ssp1_BHM-LRdiff_0.03,ssp1_BHM-SR_0.001,ssp1_BHM-SR_0.015,ssp1_BHM-SR_0.03,ssp1_BHM-SRdiff_0.001,ssp1_BHM-SRdiff_0.015,ssp1_BHM-SRdiff_0.03,ssp1_DJO_0.001,ssp1_DJO_0.015,ssp1_DJO_0.03,ssp1_KAHN_0.001,ssp1_KAHN_0.015,ssp1_KAHN_0.03,ssp2_BHM-LR_0.001,ssp2_BHM-LR_0.015,ssp2_BHM-LR_0.03,ssp2_BHM-LRdiff_0.001,ssp2_BHM-LRdiff_0.015,ssp2_BHM-LRdiff_0.03,ssp2_BHM-SR_0.001,ssp2_BHM-SR_0.015,ssp2_BHM-SR_0.03,ssp2_BHM-SRdiff_0.001,ssp2_BHM-SRdiff_0.015,ssp2_BHM-SRdiff_0.03,ssp2_DJO_0.001,ssp2_DJO_0.015,ssp2_DJO_0.03,ssp2_KAHN_0.001,ssp2_KAHN_0.015,ssp2_KAHN_0.03,ssp3_BHM-LR_0.001,ssp3_BHM-LR_0.015,ssp3_BHM-LR_0.03,ssp3_BHM-LRdiff_0.001,ssp3_BHM-LRdiff_0.015,ssp3_BHM-LRdiff_0.03,ssp3_BHM-SR_0.001,ssp3_BHM-SR_0.015,ssp3_BHM-SR_0.03,ssp3_BHM-SRdiff_0.001,ssp3_BHM-SRdiff_0.015,ssp3_BHM-SRdiff_0.03,ssp3_DJO_0.001,ssp3_DJO_0.015,ssp3_DJO_0.03,ssp3_KAHN_0.001,ssp3_KAHN_0.015,ssp3_KAHN_0.03,ssp4_BHM-LR_0.001,ssp4_BHM-LR_0.015,ssp4_BHM-LR_0.03,ssp4_BHM-LRdiff_0.001,ssp4_BHM-LRdiff_0.015,ssp4_BHM-LRdiff_0.03,ssp4_BHM-SR_0.001,ssp4_BHM-SR_0.015,ssp4_BHM-SR_0.03,ssp4_BHM-SRdiff_0.001,ssp4_BHM-SRdiff_0.015,ssp4_BHM-SRdiff_0.03,ssp4_DJO_0.001,ssp4_DJO_0.015,ssp4_DJO_0.03,ssp4_KAHN_0.001,ssp4_KAHN_0.015,ssp4_KAHN_0.03,ssp5_BHM-LR_0.001,ssp5_BHM-LR_0.015,ssp5_BHM-LR_0.03,ssp5_BHM-LRdiff_0.001,ssp5_BHM-LRdiff_0.015,ssp5_BHM-LRdiff_0.03,ssp5_BHM-SR_0.001,ssp5_BHM-SR_0.015,ssp5_BHM-SR_0.03,ssp5_BHM-SRdiff_0.001,ssp5_BHM-SRdiff_0.015,ssp5_BHM-SRdiff_0.03,ssp5_DJO_0.001,ssp5_DJO_0.015,ssp5_DJO_0.03,ssp5_KAHN_0.001,ssp5_KAHN_0.015,ssp5_KAHN_0.03
cor,0.564819041,0.598757444,0.606966432,0.592350985,0.606680659,0.610031487,0.606986834,0.611182249,0.612167189,0.611821029,0.612744486,0.612881023,0.613133436,0.613133171,0.613132948,0.570938272,0.583485917,0.59142952,0.661075141,0.704575397,0.715452184,0.698172263,0.715143012,0.719040232,0.713296611,0.719954212,0.721338625,0.719420665,0.72181467,0.722150027,0.722504496,0.722504183,0.722503919,0.677704273,0.689298275,0.69793373,0.703820913,0.740706111,0.748358942,0.735735781,0.748562061,0.751349588,0.747473343,0.752468279,0.753421129,0.752269664,0.753907338,0.754116067,0.754454464,0.754454137,0.754453861,0.711780218,0.722958115,0.730743287,0.597025817,0.628154805,0.634876029,0.623160053,0.634940054,0.637534987,0.634521056,0.638557899,0.639395564,0.63879742,0.639874196,0.640019513,0.640293195,0.640292918,0.640292685,0.601536197,0.612551704,0.619613979,0.699554478,0.750550643,0.766002453,0.745703464,0.765710573,0.77068815,0.761155605,0.771094691,0.77325014,0.769882784,0.773664775,0.774275918,0.774748587,0.774748253,0.774747971,0.728445368,0.737403145,0.746695673
cro,0.016801273,0.016824566,0.016829909,0.016679783,0.01677158,0.01679971,0.016851088,0.016851083,0.016851078,0.016865845,0.016865821,0.0168658,0.016686857,0.016777119,0.016803706,0.016706256,0.01671651,0.016722875,0.018729994,0.018765964,0.018776321,0.018591341,0.01869346,0.0187379,0.018799433,0.01880089,0.018801011,0.018817485,0.018817458,0.018817435,0.01863164,0.018702055,0.018742452,0.018639616,0.018648956,0.018656691,0.019866718,0.01990822,0.019925726,0.019741083,0.019813821,0.019876513,0.019950586,0.019953499,0.01995398,0.01997144,0.019971411,0.019971386,0.019768379,0.019825577,0.0198827,0.019781489,0.019789562,0.019798938,0.017021624,0.017047813,0.017053685,0.016883099,0.016989968,0.017022867,0.017074559,0.017074983,0.017074979,0.017089901,0.017089876,0.017089855,0.016911299,0.016996517,0.01702682,0.016930031,0.016939583,0.016945815,0.019685996,0.019715689,0.019722705,0.019587981,0.019662401,0.019687215,0.01974586,0.019747286,0.019747425,0.019764762,0.019764733,0.019764709,0.019624097,0.019669571,0.019691656,0.0195829,0.019590695,0.019597315
dnk,0.0355095,0.035762015,0.035842222,0.035700058,0.035830279,0.035868596,0.035907882,0.035907871,0.035907862,0.035905719,0.03590571,0.035905703,0.035903374,0.035903368,0.035903363,0.035479583,0.035577864,0.035653822,0.037004805,0.037265716,0.037355611,0.037214516,0.037344185,0.037383427,0.03742316,0.037423149,0.037423139,0.037420912,0.037420903,0.037420895,0.037418475,0.037418468,0.037418463,0.03702901,0.037094964,0.037164642,0.038553943,0.03879112,0.038853811,0.038741717,0.038848716,0.038875755,0.038910827,0.038910815,0.038910805,0.038908512,0.038908502,0.038908494,0.038906003,0.038905996,0.03890599,0.038529403,0.038602949,0.038666512,0.037966209,0.038200165,0.038261805,0.038145321,0.038256115,0.038284073,0.038319697,0.038319685,0.038319675,0.038317401,0.038317391,0.038317383,0.038314912,0.038314905,0.0383149,0.037916096,0.038005696,0.038072646,0.041290137,0.04158311,0.041712312,0.041528749,0.041691181,0.041750697,0.041801541,0.041801528,0.041801517,0.041799003,0.041798993,0.041798984,0.041796252,0.041796245,0.041796239,0.041388478,0.041423087,0.041492374
egy,0.261509384,0.273273134,0.27621243,0.249807712,0.269473711,0.275069262,0.256064484,0.271631231,0.275805344,0.252698797,0.270802466,0.2756981,0.239732272,0.265398612,0.274152474,0.268037355,0.271217752,0.273131503,0.303077525,0.318781495,0.324306824,0.287706239,0.311157301,0.322325406,0.293677238,0.313804483,0.323309954,0.290187284,0.311306618,0.322910695,0.28343393,0.306211407,0.320686033,0.315673759,0.318304052,0.320650738,0.300846775,0.315666277,0.324747881,0.286329593,0.304232823,0.321176749,0.291628183,0.308112211,0.322749775,0.290734442,0.305535159,0.321909505,0.283750338,0.299294312,0.318270675,0.317111559,0.318703182,0.321338066,0.280600174,0.293058261,0.296218903,0.26753163,0.288502297,0.29494373,0.273410171,0.290766972,0.295718919,0.268970928,0.289350579,0.295552159,0.255725765,0.283322675,0.293891062,0.288055729,0.290874583,0.292815493,0.313717235,0.328519259,0.332732985,0.297874015,0.323631328,0.331394482,0.302363714,0.325283516,0.33205291,0.307283814,0.324594661,0.331770522,0.307292647,0.322478736,0.330302633,0.325117028,0.32738845,0.329288013
esp,0.236675512,0.24664725,0.249360166,0.213168223,0.236696449,0.246879527,0.247437408,0.250001566,0.25064311,0.251071812,0.251071804,0.251071798,0.251144315,0.251144194,0.251144092,0.23974037,0.243127251,0.245429904,0.246597147,0.257849129,0.261399499,0.222256506,0.246078216,0.259205222,0.258536047,0.261970036,0.262819686,0.263309282,0.263309274,0.263309268,0.263385187,0.263385061,0.263384954,0.252549932,0.25508991,0.257380507,0.257981621,0.268736619,0.271479198,0.267488523,0.271429531,0.272354711,0.269002642,0.272018485,0.272658832,0.271468766,0.272698705,0.272933491,0.273137864,0.273137733,0.273137623,0.262764999,0.265424086,0.267542121,0.252412831,0.262718906,0.2653684,0.261261527,0.265295723,0.266261475,0.263203183,0.265956829,0.266584488,0.265580947,0.266647063,0.2668693,0.267073663,0.267073535,0.267073426,0.256086546,0.259172496,0.261381637,0.270424251,0.283086859,0.28808555,0.250088497,0.270319129,0.283856436,0.283884529,0.288602302,0.289887351,0.290044608,0.290536396,0.290536389,0.290621022,0.290620882,0.290620764,0.27957971,0.28129163,0.283651002
fin,0.040322873,0.040731453,0.040864857,0.0390314,0.040336667,0.040853464,0.040978755,0.040978701,0.040978655,0.040969147,0.040969108,0.040969076,0.04095377,0.040953757,0.040953746,0.040192704,0.040373691,0.040522624,0.041855466,0.042286535,0.042446954,0.042160674,0.042407165,0.042483852,0.042566754,0.042566697,0.042566649,0.042556808,0.042556768,0.042556734,0.042540892,0.042540879,0.042540867,0.041851406,0.041962016,0.042099177,0.043848339,0.044265107,0.044380208,0.044138173,0.044353848,0.044408261,0.04448347,0.044483411,0.044483361,0.044473176,0.044473135,0.044473099,0.044456704,0.04445669,0.044456678,0.043780387,0.043911953,0.044042469,0.043111141,0.043504158,0.043609648,0.043370956,0.0435837,0.043637008,0.043712325,0.043712267,0.043712218,0.043702142,0.043702101,0.043702066,0.043685847,0.043685833,0.043685821,0.042969406,0.043136385,0.043271029,0.046723463,0.047199407,0.047440159,0.046096749,0.046844639,0.04734366,0.047600625,0.047600561,0.047600508,0.04758937,0.047589325,0.047589287,0.047571358,0.047571343,0.04757133,0.046866099,0.046909575,0.047034988
fra,0.270013741,0.289582763,0.295762208,0.252141562,0.287312728,0.296887953,0.29925142,0.299251349,0.299251288,0.299254031,0.299253956,0.299253892,0.299281081,0.299280965,0.299280868,0.276821235,0.283655479,0.288727533,0.281253711,0.301860117,0.309502605,0.257736276,0.292481269,0.310015821,0.312571945,0.313349204,0.313397124,0.313399992,0.313399913,0.313399846,0.313428269,0.313428148,0.313428045,0.29290247,0.297491829,0.302338019,0.298402031,0.319112351,0.32547109,0.315889554,0.324830657,0.327239461,0.327992673,0.328812626,0.328812559,0.328815543,0.32881546,0.32881539,0.328844948,0.328844821,0.328844714,0.308619009,0.31361349,0.318323263,0.291952895,0.311494149,0.316994301,0.307754153,0.316404037,0.318621505,0.319922071,0.320122341,0.320122276,0.320125197,0.320125117,0.320125048,0.320153996,0.320153872,0.320153768,0.299014605,0.305215265,0.309936552,0.30731521,0.329545881,0.339725131,0.280974387,0.315283511,0.338384846,0.342351977,0.344225941,0.344628418,0.344646087,0.344646,0.344645926,0.344677442,0.344677309,0.344677196,0.324459055,0.327207009,0.331947737
gbr,0.459635289,0.485988124,0.493990986,0.479148725,0.492483602,0.49620603,0.498483092,0.498482882,0.498482705,0.498473786,0.498473604,0.49847345,0.498474132,0.498473949,0.498473794,0.466305793,0.476768415,0.484356749,0.476270097,0.503739595,0.513148744,0.498007841,0.511559082,0.515595298,0.517965346,0.517965128,0.517964944,0.517955704,0.517955515,0.517955356,0.517956063,0.517955873,0.517955712,0.489149714,0.496312185,0.503462473,0.502297133,0.527910867,0.53483003,0.522312538,0.533802924,0.536730753,0.53865426,0.538654035,0.538653844,0.538644361,0.538644165,0.538644,0.538644729,0.538644532,0.538644366,0.511191683,0.51899125,0.525576664,0.49494437,0.520606849,0.52748626,0.514313774,0.526374416,0.529420984,0.531402711,0.531402488,0.5314023,0.531392859,0.531392665,0.531392502,0.531393225,0.531393031,0.531392866,0.501619968,0.511119981,0.51805649,0.529903878,0.560557446,0.573202019,0.55637856,0.571458741,0.57654435,0.579502232,0.579501987,0.57950178,0.579491304,0.579491091,0.579490912,0.57949171,0.579491496,0.579491316,0.550355323,0.554797307,0.562044802
golf57,1.180537516,1.354199194,1.466972293,1.179612631,1.202378248,1.407762409,1.180660972,1.329312791,1.460731421,1.180890245,1.330720396,1.464582648,1.179338044,1.179340378,1.371658585,1.243035251,1.317043771,1.380458952,1.312301326,1.396300763,1.596493451,1.311268115,1.31127044,1.499386729,1.312439243,1.31858203,1.573127039,1.312695367,1.312696443,1.570952138,1.310961366,1.31096396,1.449537453,1.397116513,1.443198617,1.509804116,1.393900885,1.393902399,1.599048233,1.392803262,1.392805741,1.438829517,1.3940474,1.394048786,1.545831957,1.394319493,1.394320641,1.536266413,1.392477392,1.392480158,1.392482493,1.484668297,1.49965869,1.559643425,1.307744326,1.32564909,1.552913118,1.306712621,1.30671494,1.416853339,1.307882041,1.307883337,1.526454237,1.308137792,1.308138865,1.528160406,1.306406319,1.306408907,1.355197976,1.361903813,1.407939315,1.480881403,1.375389408,1.524273245,1.706880506,1.374304774,1.404102441,1.638516396,1.375534187,1.476300335,1.689754712,1.375803055,1.476906973,1.688009256,1.373982756,1.384874714,1.598903732,1.506280004,1.553441291,1.616363015
grc,0.05801693,0.059045987,0.059295613,0.058870398,0.059289047,0.059383089,0.05906411,0.059350028,0.059414269,0.059305645,0.059419712,0.059443423,0.059471962,0.059471888,0.059471826,0.05825243,0.058623028,0.058838437,0.059669318,0.060815379,0.061125655,0.060684522,0.061121214,0.061220672,0.06080568,0.061170566,0.061249651,0.061090964,0.061250147,0.061280242,0.061310423,0.061310347,0.061310283,0.060157287,0.060454789,0.060665971,0.062544935,0.063603146,0.0638326,0.063481995,0.063839044,0.063912826,0.063577372,0.063882799,0.063940544,0.063821291,0.063945367,0.063967067,0.063995276,0.063995198,0.063995132,0.062881692,0.063175467,0.063366066,0.061881393,0.062924403,0.063158096,0.062776403,0.063159992,0.063241226,0.062916732,0.063210695,0.063270439,0.063160572,0.063276138,0.063298141,0.063326748,0.063326671,0.063326605,0.062147987,0.062486386,0.062688755,0.0667422,0.068094878,0.068579067,0.068043474,0.068577108,0.068714794,0.068077857,0.068612209,0.068744592,0.068505277,0.068738359,0.068786581,0.068825292,0.068825206,0.068825134,0.067584284,0.067817485,0.068057561
hun,0.040282147,0.040582244,0.040656277,0.039140767,0.040152551,0.040560772,0.040738425,0.040741471,0.04074146,0.040742057,0.040742044,0.040742033,0.040747672,0.040747652,0.040747635,0.040134301,0.040247445,0.040317517,0.044719377,0.045075025,0.045167601,0.044823735,0.045065803,0.045149686,0.045239446,0.045257859,0.045260569,0.04526136,0.045261346,0.045261334,0.04526758,0.045267558,0.045267539,0.044629316,0.044725693,0.044797418,0.046613794,0.046925615,0.046990343,0.046898018,0.047005449,0.047027703,0.047060452,0.047074733,0.047076078,0.04707676,0.047076745,0.047076733,0.047083172,0.047083149,0.047083129,0.046457481,0.0465518,0.046615266,0.046784188,0.047093999,0.047161328,0.046952177,0.047116968,0.047165483,0.047239837,0.047249948,0.04725083,0.047251519,0.047251504,0.047251491,0.047258002,0.047257978,0.047257958,0.04659877,0.046708689,0.046777668,0.049539031,0.049966046,0.050113665,0.048745044,0.049537553,0.049957041,0.050181733,0.050222314,0.050229671,0.050231923,0.050231907,0.050231893,0.050238887,0.050238862,0.050238841,0.049542775,0.049614185,0.04969496
idn,0.554885246,0.616335738,0.629754728,0.587645013,0.620153859,0.629480769,0.491075298,0.592893721,0.623139901,0.524757726,0.601289229,0.622299442,0.491041819,0.594314826,0.623134259,0.5870538,0.60625252,0.617001834,0.5990956,0.683240643,0.705571803,0.577575685,0.675849582,0.703183268,0.55212374,0.627303156,0.693706909,0.552034614,0.609566221,0.684514126,0.552086068,0.634215645,0.694436505,0.659802389,0.677476345,0.690350889,0.598006549,0.694777347,0.738210214,0.583821833,0.680634295,0.733978133,0.583725909,0.604202476,0.714695577,0.58363152,0.588317993,0.696634345,0.583686013,0.617046474,0.717071017,0.690638082,0.705968246,0.722582984,0.581534022,0.637074609,0.648891116,0.591005435,0.635597696,0.647464298,0.505659778,0.612064272,0.642178656,0.505578465,0.605648859,0.638244657,0.505625409,0.614169936,0.642293935,0.609057168,0.625088231,0.635213309,0.677948784,0.75945941,0.777509278,0.735664048,0.768807419,0.77794784,0.605540142,0.725377142,0.768715882,0.663544787,0.745440662,0.769717751,0.632574647,0.731849926,0.769229172,0.735467597,0.751590448,0.762869436
irl,0.036549255,0.036707012,0.036756552,0.036398318,0.036702815,0.036770909,0.036800599,0.036800594,0.036800589,0.03679983,0.036799826,0.036799822,0.036799594,0.03679959,0.036799586,0.036516005,0.036577553,0.036626006,0.038378531,0.038541428,0.038595632,0.038508947,0.038589893,0.038614896,0.038640777,0.038640771,0.038640766,0.038639971,0.038639966,0.038639962,0.038639723,0.038639718,0.038639714,0.038375942,0.03841826,0.038462853,0.039764308,0.039908203,0.039947385,0.039878889,0.039945413,0.039963261,0.039986155,0.039986149,0.039986145,0.039985329,0.039985324,0.03998532,0.039985075,0.039985071,0.039985067,0.039730018,0.039776016,0.03981708,0.039084122,0.039231868,0.039272613,0.039198521,0.03926994,0.03928915,0.039312749,0.039312744,0.039312739,0.039311932,0.039311927,0.039311923,0.03931168,0.039311676,0.039311672,0.039040317,0.03909624,0.039140235,0.042657369,0.042840679,0.042912439,0.042233239,0.042632475,0.042898579,0.042969441,0.042969435,0.042969429,0.042968535,0.04296853,0.042968525,0.042968256,0.042968251,0.042968247,0.042691139,0.04271526,0.042759676
ita,0.29002035,0.30293738,0.306217458,0.298298352,0.304995939,0.306844494,0.304512028,0.307201447,0.30783592,0.307482714,0.308161281,0.308247125,0.308335103,0.308334922,0.308334769,0.293697824,0.298380125,0.301337912,0.300790182,0.315559085,0.319865157,0.3136686,0.319650103,0.321125295,0.317080892,0.320796188,0.321645091,0.320141673,0.321698541,0.321993204,0.322209009,0.32220882,0.322208661,0.308222217,0.311902967,0.314884857,0.317356047,0.3313193,0.334614852,0.3294733,0.334528322,0.335651474,0.332291857,0.335479882,0.336114985,0.334945349,0.336192326,0.33640791,0.336600931,0.336600735,0.336600568,0.323175402,0.326951645,0.329693106,0.310909804,0.324280798,0.327477175,0.32216647,0.327357351,0.32853072,0.325483522,0.328393579,0.329017603,0.328069245,0.329121225,0.329320215,0.329509907,0.329509714,0.329509551,0.315335788,0.319660484,0.322510781,0.329502664,0.346243533,0.352205169,0.330126056,0.344555591,0.350803494,0.347998547,0.35315908,0.35441522,0.354473993,0.355040772,0.355040745,0.355135309,0.3551351,0.355134924,0.340818964,0.343546208,0.346685607
jpn,0.953018022,1.073303225,1.10486638,1.044810964,1.102240733,1.115295825,1.10456491,1.1192418,1.122542398,1.122279612,1.124673763,1.124684817,1.124992885,1.124992311,1.124991826,0.978155123,1.027159614,1.058939113,0.982909225,1.11664418,1.155613379,0.961666252,1.13143451,1.166129695,1.148374752,1.170185947,1.174666017,1.174070115,1.176696241,1.17723364,1.177555086,1.177554485,1.177553978,1.034339278,1.075704999,1.107967269,1.085923558,1.213484227,1.243057278,1.192141987,1.242087978,1.253087488,1.238965555,1.256488586,1.259790512,1.256119322,1.261478254,1.261999147,1.262341538,1.262340895,1.262340352,1.121451964,1.163851054,1.194452323,0.978935761,1.086230282,1.110506769,1.065404647,1.109496674,1.119059094,1.108995082,1.12227914,1.124953284,1.123601183,1.126614217,1.126787744,1.127094916,1.127094342,1.127093857,0.99846185,1.040751483,1.068037899,1.036779457,1.185992761,1.238421766,1.164124298,1.235436969,1.252753152,1.221603496,1.253832421,1.260476531,1.25002203,1.26179377,1.263492723,1.264111622,1.264110976,1.264110432,1.119859159,1.154197577,1.187972542
meme,0.142307502,0.145761894,0.146795031,0.142421467,0.145172076,0.14629237,0.143124829,0.146083083,0.146936847,0.144969667,0.146647892,0.147128713,0.134684806,0.142168308,0.145761927,0.143644086,0.144531093,0.145146746,0.153930631,0.157795432,0.15943148,0.154235326,0.157304343,0.15882704,0.154449556,0.158084869,0.159587623,0.15686215,0.159077916,0.159867761,0.148739634,0.153860378,0.157965412,0.156434992,0.157010069,0.157650797,0.15891005,0.162424172,0.164851544,0.153383272,0.158138486,0.163083628,0.159369864,0.162744963,0.16505325,0.160006269,0.163251536,0.165351479,0.154196072,0.157705238,0.162506704,0.162170512,0.162474409,0.163133253,0.147479225,0.151100654,0.153065429,0.141426427,0.146730692,0.151559741,0.148188968,0.151518865,0.153263266,0.149184703,0.152161719,0.153532206,0.140709765,0.146002401,0.151105219,0.150101455,0.150670978,0.151372667,0.160396502,0.164424151,0.166304667,0.161416789,0.1644227,0.165830652,0.160431483,0.164345932,0.166416953,0.163432136,0.165868566,0.166749438,0.158546505,0.161962933,0.164963473,0.163531435,0.163976237,0.164567403
mex,0.456036419,0.483314004,0.489729875,0.459815661,0.48022244,0.487116468,0.457963741,0.484062304,0.490107014,0.472559878,0.487317788,0.49102145,0.40058293,0.463645524,0.484231812,0.467398702,0.475984015,0.481196658,0.58272879,0.628546478,0.643844606,0.586155656,0.623468739,0.63901402,0.581371662,0.628171178,0.644202881,0.607005407,0.636700145,0.646045405,0.520388366,0.587715513,0.631979685,0.61602327,0.624612617,0.632206527,0.561538615,0.60286892,0.63215564,0.510731402,0.552742563,0.61405227,0.559996267,0.601171469,0.632323447,0.563262952,0.603147384,0.634223721,0.510050375,0.547848219,0.606702497,0.608958162,0.613330762,0.621918391,0.518626674,0.553384301,0.562090381,0.514674966,0.546844711,0.558147181,0.519072806,0.553886057,0.56248076,0.53666716,0.558008943,0.563519051,0.449478427,0.521690862,0.554590272,0.537174368,0.545969975,0.552025069,0.5678917,0.603362134,0.611852629,0.581931311,0.602928792,0.609539376,0.560570257,0.601491167,0.611991282,0.587689311,0.608690956,0.613315751,0.540356706,0.584916688,0.605486581,0.590009201,0.596847143,0.602139112
mys,0.274542588,0.283556023,0.285952804,0.281541162,0.285209442,0.286298919,0.263578032,0.279825597,0.284842021,0.27417871,0.282926752,0.285435984,0.261826235,0.279318479,0.284623531,0.279567025,0.281919428,0.283473928,0.287440314,0.298283218,0.302105469,0.296411031,0.300981954,0.302564534,0.273037383,0.290146196,0.300146546,0.286296837,0.296829447,0.301289968,0.27217655,0.289631153,0.299952596,0.296231404,0.297924287,0.299561306,0.303418534,0.314644672,0.321042109,0.310613604,0.317313549,0.321148663,0.288471772,0.302659866,0.317435796,0.298628975,0.30923702,0.318268288,0.288344649,0.302484626,0.317238148,0.315626112,0.316754166,0.318642891,0.321086562,0.331748388,0.334633717,0.327378765,0.332725282,0.334544515,0.306573059,0.32631494,0.333211281,0.317218579,0.329249578,0.333281662,0.304844341,0.325737445,0.332981251,0.327739384,0.330033449,0.331738907,0.304588725,0.314744107,0.317640761,0.31387297,0.317238383,0.318180926,0.290625401,0.309169054,0.316161094,0.303551732,0.314023354,0.317242219,0.296758778,0.310074299,0.31606231,0.312149721,0.313636783,0.315043921
nde,2.493288112,2.493290256,2.927612785,2.492540602,2.492543335,2.844074371,2.492229106,2.492232083,2.711525502,2.491691523,2.491694924,2.563706043,2.491593278,2.491596756,2.670306712,2.480617904,2.480630074,2.576855819,2.865778956,2.865781425,3.221306818,2.86491657,2.864919717,3.091114666,2.864557204,2.864560632,2.864563527,2.863937006,2.863940922,2.863944229,2.863823663,2.863827668,2.86383105,2.851161666,2.851175678,2.851187508,2.880293001,2.880295486,2.880297584,2.879423191,2.879426357,2.879429031,2.87906073,2.87906418,2.879067094,2.878435193,2.878439134,2.878442461,2.878320875,2.878324905,2.878328308,2.865549882,2.865563981,2.865575886,2.671857973,2.671860279,3.084323666,2.671056307,2.671059246,2.981361711,2.670722244,2.670725446,2.795532551,2.670145716,2.670149373,2.670152461,2.670040354,2.670044094,2.755062386,2.658270155,2.65828324,2.693022882,2.86749536,2.867497822,3.381715453,2.866634834,2.866637972,3.28769976,2.866276242,2.866279661,3.107556331,2.86565738,2.865661285,2.941370527,2.865544281,2.865548275,3.085390795,2.852909303,2.852923273,3.006442973
nld,0.149614255,0.151810216,0.152461155,0.151315346,0.152380749,0.152674469,0.15292078,0.152920743,0.152920713,0.152916864,0.152916832,0.152916804,0.152918588,0.152918555,0.152918526,0.149790636,0.150624084,0.151227614,0.156823244,0.159181394,0.159958032,0.1587703,0.159873634,0.160190942,0.160444593,0.160444555,0.160444523,0.160440491,0.160440458,0.160440429,0.160442298,0.160442262,0.160442232,0.157541356,0.158131199,0.158706059,0.164776758,0.166995592,0.16758555,0.16659206,0.16754057,0.16777896,0.168004691,0.168004651,0.168004617,0.168000426,0.168000391,0.168000361,0.168002305,0.168002267,0.168002236,0.165157693,0.165792297,0.166331243,0.15994988,0.162100748,0.16267382,0.16165424,0.162623053,0.162867548,0.163095247,0.163095209,0.163095176,0.163091089,0.163091055,0.163091026,0.16309292,0.163092884,0.163092854,0.160113409,0.160867654,0.161425989,0.17127017,0.173855521,0.17490441,0.173608293,0.174818005,0.175216888,0.175522155,0.175522113,0.175522078,0.175517636,0.1755176,0.175517569,0.175519627,0.175519588,0.175519555,0.172582754,0.172931336,0.173501954
noan,0.100848143,0.102363308,0.102693847,0.10020151,0.10191811,0.102442828,0.101266764,0.102498362,0.102759953,0.101950212,0.102675367,0.102836577,0.096755608,0.101128482,0.102325506,0.101051048,0.101543775,0.101825866,0.116954407,0.11924955,0.119898145,0.112860353,0.117528346,0.119443848,0.117345453,0.119421205,0.119981234,0.117599274,0.11961092,0.120080322,0.113360213,0.117308227,0.119304887,0.1180458,0.118512955,0.118869335,0.117167023,0.119529775,0.120910596,0.113401984,0.116819935,0.119974689,0.117566517,0.119784709,0.121036068,0.11803318,0.120119996,0.121199158,0.113950172,0.116538212,0.119673655,0.119153945,0.119447879,0.119894403,0.108181778,0.110073236,0.110526645,0.104625649,0.10876629,0.110157296,0.10859953,0.110228204,0.110600712,0.109120234,0.110419985,0.110687138,0.103668294,0.108391155,0.110052086,0.108777056,0.109258411,0.109574781,0.120815543,0.122755643,0.123189807,0.120365501,0.122326196,0.122915877,0.120840098,0.122814998,0.123252754,0.121966996,0.123118491,0.123343666,0.119374992,0.121782644,0.122787719,0.121523147,0.121912819,0.122193318
noap,0.190382556,0.195243631,0.196441369,0.181794444,0.19240858,0.195491924,0.19155761,0.195645132,0.196626224,0.192916591,0.196134565,0.196849163,0.178149543,0.19106098,0.195197483,0.191692747,0.19316512,0.19412422,0.225069871,0.232245299,0.234621524,0.212805507,0.226461899,0.23298772,0.226058196,0.232725542,0.234861617,0.226744975,0.233311982,0.235176659,0.214277836,0.225683536,0.232473953,0.22931616,0.230578871,0.23178064,0.228894977,0.236134562,0.240586998,0.216817241,0.227741294,0.237404003,0.22987878,0.236773446,0.240942095,0.231182013,0.237742223,0.241458533,0.218943822,0.226744876,0.236414297,0.235723508,0.236428702,0.237788512,0.210841158,0.216764261,0.218326495,0.200072778,0.212572401,0.217096011,0.211951535,0.217205966,0.218536177,0.213475211,0.217808872,0.21879992,0.196385616,0.211049491,0.21672392,0.213180779,0.214596431,0.215672121,0.227241282,0.233487041,0.23515265,0.219100011,0.230454224,0.23405115,0.227123776,0.233562812,0.235313033,0.226974536,0.233872172,0.235544935,0.223034476,0.230132627,0.233697107,0.230493946,0.23155881,0.232520378
nor,0.044088187,0.04437773,0.04447796,0.044277626,0.044450522,0.044506717,0.044576688,0.044576666,0.044576647,0.044568959,0.044568943,0.044568929,0.044556815,0.044556809,0.044556804,0.043955573,0.044077746,0.044187423,0.045752534,0.046047612,0.046159713,0.045961416,0.046132242,0.04619061,0.046262173,0.04626215,0.046262131,0.046254172,0.046254155,0.046254141,0.046241601,0.046241594,0.046241589,0.045696927,0.045767675,0.045864738,0.047398394,0.04767206,0.047752149,0.047588233,0.047734711,0.0477758,0.047839369,0.047839345,0.047839325,0.047831188,0.047831171,0.047831156,0.047818335,0.047818328,0.047818323,0.047289994,0.047376813,0.047470374,0.045316343,0.045582871,0.045661686,0.04549428,0.045643391,0.045685646,0.045749053,0.04574903,0.045749011,0.045741163,0.045741146,0.045741132,0.045728766,0.04572876,0.045728755,0.045176821,0.045284546,0.045381891,0.050219202,0.05054654,0.050701669,0.050480951,0.050669093,0.050745744,0.0508329,0.050832874,0.050832853,0.050823996,0.050823977,0.050823962,0.050810007,0.05081,0.050809994,0.050253252,0.050277356,0.050363131
