"t","n","emi_bau_GtCO2yr"
"3           ","rsam        ",0.107256535482
"3           ","rsas        ",0.100095468205
"3           ","rsl         ",0.023523123681
"3           ","rus         ",0.395547547221
"3           ","sau         ",0.261304776539
"3           ","slo         ",0.010161956142
"3           ","sui         ",0.048959365341
"3           ","swe         ",0.055769938159
"3           ","tha         ",0.085529002250
"3           ","tur         ",0.245969352929
"3           ","ukr         ",0.036151149454
"3           ","usa         ",5.229841517194
"3           ","vnm         ",0.072930009493
"3           ","zaf         ",0.236102369690
